MKOA WA RUKWA ,,,,,,,,Scope of works,,,,,,,,,,,TAPPING POINT,ACCESSIBILITY,,,REMAKS
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,,,,,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total,,CAR,M/C,FOOT,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Ilemba A,1,Mwembemmoja,-,3.0,1,,,1.4,0.6,2.0,60,5,65,,,,,INACCESSIBLE
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Ilemba A,2,Ilemba Kati,-,-,1,1,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Ilemba A,3,Mkanga,-,0.2,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Kaswepa,4,Kaswepa,-,-,1,1,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Kaswepa,5,Kapata ,-,1.1,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Kaswepa,6,Majengo,-,0.0,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Sakalilo,7,Mulu,-,0.7,1,,,1.4,0.6,2.0,50,3,53,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Sakalilo,8,Manda,-,0.3,1,,,1.4,0.6,2.0,50,2,52,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Sakalilo,9,Kalekete,-,-,1,,,1.4,0.6,2.0,40,3,43,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Sakalilo,10, Isanga,-,4.0,1,,,1.4,0.6,2.0,47,2,49,,,,,INACCESSIBLE
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Ilemba B,11,Chanji,-,0.7,1,,,1.4,0.6,2.0,120,5,125,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Ilemba B,12,Tuwi,-,0.0,1,,,1.4,0.6,2.0,200,6,206,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Ilemba B,13,Makoto,-,0.4,1,,,1.4,0.6,2.0,100,10,110,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Ilemba B,14,Kambauwanda,-,-,1,1,,1.4,0.6,2.0,300,7,307,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Ilemba B,15,Kampombo,-,0.7,1,,,1.4,0.6,2.0,70,7,77,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Lyanza,16,Kalambo,-,2.0,1,,,1.4,0.6,2.0,30,5,35,,,,,INACCESSIBLE
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Lyanza,17,Milimani,-,-,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Ilemba,Lyanza,18,Lyanza kati,-,0.0,1,,,1.4,0.6,2.0,100,6,106,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Nankanga,Nankanga ,19,Uhuru,-,-,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Nankanga,Nankanga ,20,Nazareth,-,0.0,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Nankanga,Nankanga ,21,Nankanga Kati,-,0.5,1,,,1.4,0.6,2.0,65,5,70,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Nankanga,Nankanga ,22,Isanga,-,3.2,1,,,1.4,0.6,2.0,70,4,74,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Nankanga,Nankanga ,23,Chikamba,-,2.8,1,,,1.4,0.6,2.0,65,5,70,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Nankanga,Nankanga C,24,Mtakuja,-,-,1,,,1.4,0.6,2.0,65,5,70,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Nankanga,Nankanga C,25,Chang'ombe,-,1.7,1,,,1.4,0.6,2.0,65,5,70,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Nankanga,Nankanga C,26,Vuma,-,0.3,1,,,1.4,0.6,2.0,55,3,58,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Nankanga,Solola,27,Solola kati,-,0.0,1,,,1.4,0.6,2.0,90,5,95,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Nankanga,Solola,28,Kaloleni,-,-,1,,,1.4,0.6,2.0,90,5,95,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Nankanga,Solola,29,Intake,-,0.5,1,,,1.4,0.6,2.0,95,5,100,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kaoze,30,Nanzovu,-,0.6,1,,,1.4,0.6,2.0,90,5,95,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kaoze,31,Chikulwe,-,0.5,1,,,1.4,0.6,2.0,90,3,93,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kaoze,32,Msawizi,-,-,1,,,1.4,0.6,2.0,90,5,95,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kaoze,33,Nsavya,-,0.0,1,,,1.4,0.6,2.0,90,3,93,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kaoze,34,Mpilima,-,0.0,1,,,1.4,0.6,2.0,90,5,95,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kaoze,35,Kaoze,-,0.6,1,,,1.4,0.6,2.0,70,3,73,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kaoze,36,Kikwale,-,5.4,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kaoze,37,Msompa,-,0.5,1,,,1.4,0.6,2.0,70,4,74,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kaoze,38,Mpasaji,-,0.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kaoze,39,Kizule,-,0.5,1,,,1.4,0.6,2.0,70,5,75,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Tululu ,40,Chang’ombe,-,0.0,1,,,1.4,0.6,2.0,90,5,95,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Tululu ,41,Msangana,-,-,1,,,1.4,0.6,2.0,90,4,94,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Tululu ,42,Tululu,-,0.4,1,,,1.4,0.6,2.0,95,5,100,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Chombe,43,Kipala,-,0.5,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Chombe,44,Chipa,-,0.6,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Chombe,45,Kalambo,-,0.6,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Chombe,46,Mwitu,-,0.6,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Chombe,47,Mtapenda,-,0.0,1,,,1.4,0.6,2.0,70,5,75,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Chombe,48,Chombe,-,-,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kiandaigonda,49,Kiandaigonda A,-,0.3,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kiandaigonda,50,Kiandaigonda B,-,-,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kiandaigonda,51,Chite A,-,0.0,1,,,1.4,0.6,2.0,90,5,95,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kiandaigonda,52,Chite B,-,0.7,1,,,1.4,0.6,2.0,70,5,75,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kiandaigonda,53,Chang'ombe A,-,0.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kiandaigonda,54,Chang'ombe B,-,0.0,1,,,1.4,0.6,2.0,90,5,95,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kiandaigonda,55,Chamenje ,-,0.6,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kaoze,Kiandaigonda,56,Nakasungu,-,1.0,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Mkusi,57,Mtundwe,-,0.9,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Mkusi,58,Msanza,-,0.3,1,,,1.4,0.6,2.0,70,5,75,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Mkusi,59,Kikonde,-,-,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Ngomeni,60,Mkumbulule,-,-,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Ngomeni,61,Mkangele,-,0.3,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Kawila,62,Mazinji A,-,0.3,1,,,1.4,0.6,2.0,90,5,95,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Kawila,63,Mazinji B,-,0.7,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Kawila,64,Kawila,-,-,1,,,1.4,0.6,3.3,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Kapenta,65,Ntumbi,-,0.5,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Kapenta,66,Malawi,-,0.3,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Kapenta,67,Kapasa,-,-,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Kapenta,68,Ngoi,-,5.5,1,,,1.4,0.6,2.0,30,5,35,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Nsanga,69,Kaula,-,0.3,1,,,1.4,0.6,2.0,30,5,35,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Nsanga,70,Kafula,-,-,1,,,1.4,0.6,2.0,30,5,35,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Nsanga,71,Kalonje  ,-,3.0,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Liwelyamvula,72,Ngomeni,-,,1,,,1.4,0.6,2.0,60,5,65,,,,,DOES NOT EXIST
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Liwelyamvula,73,Namasinzi,-,2.4,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Liwelyamvula,74,Namingongo,-,0.3,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kapenta,Liwelyamvula,75,Liwelyamvula,-,-,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kipeta,76,Kipeta kati,-,-,1,,,1.4,0.6,2.0,180,20,200,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kipeta,77,Mmuyu,-,0.8,1,,,1.4,0.6,2.0,180,5,185,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kipeta,78,Ng’ongo,-,0.3,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kipeta,79,Kanyala,-,1.5,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kipeta,80,Kituku ,-,0.7,1,,,1.4,0.6,2.0,150,8,158,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kipeta,81,Kikwale,-,7.7,1,,,1.4,0.6,2.0,100,5,105,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Legeza,82,Senga,-,0.0,1,,,1.4,0.6,2.0,100,5,105,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Legeza,83,Nauchese,-,4.6,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Legeza,84,Legeza Kati,-,-,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Mpona,85,Chamwana,-,-,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Mpona,86,Namashete,-,0.5,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Mpona,87,Mbaya,-,2.0,1,,,1.4,0.6,2.0,50,5,55,,,,,INACCESSIBLE
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Mpona,88,Magoma,-,0.0,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kirando,89,Ludewa,-,0.7,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kirando,90,Namavyonga,-,3.1,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kirando,91,Kilando kati,-,-,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kilyamatundu ,92,Kilyamatundu kati,-,0.0,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kilyamatundu ,93,Lupanga,-,0.0,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kilyamatundu ,94,Tewete,-,-,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kilyamatundu ,95,Majengo,-,-,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kilyamatundu ,96,Kalenje,-,0.0,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,97,Ulundo (Ilundo),-,-,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,98,Msomantembo,-,0.0,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,99,Mwenemtolo,-,0.3,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,100,Nkamba,-,0.8,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,101,Kapyamsanya,-,0.0,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,102,Nangoli,-,0.0,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,103,Maombwe,-,1.4,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,104,Ngola ,-,5.2,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Kilangawana,105,Tukuyu,-,0.0,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Kilangawana,106,Mabatini,-,0.0,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Kilangawana,107,Mpakani,-,1.2,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Kilangawana,108,Movu,-,0.0,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Kilangawana,109,Kilangawana Mjini,-,-,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Ilambo,110,Mtukula,-,0.0,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Ilambo,111,Elnino,-,0.3,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Ilambo,112,Mabatini,-,-,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Ilambo,113,Majengo,-,0.0,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Ilambo,114,Chang’ombe,-,0.5,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Ilambo,115,Isinizya ,-,3.3,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Mpande,116,Kaloleni,-,-,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Mpande,117,Soweto,-,0.0,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Mpande,118,Mpande,-,-,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Sontaukia,119,Majengo,-,-,1,,,1.4,0.6,2.0,30,6,36,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Sontaukia,120,Katindi,-,3.0,1,,,1.4,0.6,2.0,30,6,36,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Sontaukia,121,Kichangani,-,2.9,1,,,1.4,0.6,2.0,30,6,36,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Sontaukia,122,Sontaukia,-,-,1,,,1.4,0.6,2.0,60,5,65,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Ng'ongo,123,Mwanga,-,0.0,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Ng'ongo,124,Lwizi,-,4.2,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Ng'ongo,125,Ng'ongo,-,-,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Ng'ongo,126,Mteteze,-,0.7,1,,,1.4,0.6,2.0,60,4,64,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Kifinga,127,Kifinga,-,0.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Kifinga,128,Kakoa,-,0.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Kifinga,129,Kasisi,-,-,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Kifinga,130,Mtukula,-,,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Mkamba,131,Sofwa,-,0.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Mkamba,132,Chanda,-,0.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Mkamba,133,Mundwe,-,-,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Mkamba,134,Kindumba,-,9.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Mkamba,135,Matiri,-,0.0,1,,,1.4,0.6,2.0,80,5,85,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Zimba,Mission,136,Namwele,-,-,1,,,1.4,0.6,2.0,60,5,65,,,,,
